Region_ID,State,Mountain_Range,Nearby_River,Wildlife_Sanctuary,Restriction_Type,Dominant_Trees,Key_Animals,Minerals_Present,Elevation_m,Slope_deg,NDVI,Forest_Cover_Percent,Distance_to_River_km,Protected_Area,Existing_Mining,Mining_Allowed,Deforestation_Risk,Water_Pollution_Risk,Air_Pollution_Risk,Annual_Rainfall_mm,Seasonal_Rainfall_Variability,Avg_Temperature_C,Max_Temperature_C,Min_Temperature_C,Seismic_Zone,Population_Density_per_km2,Land_Use_Type,Mining_Employment_Dependency_%,Past_Mining_Accidents,Previous_Hazard_Report,Distance_to_Road_km,Distance_to_Rail_km,Distance_to_Town_km,Road_Connectivity,Rail_Connectivity
R44,Rajasthan,Aravalli Range,Sabarmati,Kumbhalgarh Wildlife Sanctuary,Eco-Sensitive Zone,"Khejri, Banyan","Leopard, Hyena","Marble, Limestone",247,30,0.52,28,6.4,1,0,Yes,High,Low,High,2161,1.02,33,43,25,IV,1134,Mixed,16,3,Low,8.7,53.5,88.1,Excellent,High
R45,Madhya Pradesh,Satpura Range,Narmada,Pachmarhi Wildlife Sanctuary,Biosphere Reserve,"Teak, Sal","Gaur, Leopard","Manganese, Copper",353,30,0.55,80,5.4,1,1,No,Very High,Medium,Medium,3181,1.35,30,40,27,II,729,Forest,54,0,Low,18.5,55.5,12.1,Moderate,None
R46,Madhya Pradesh,Satpura Range,Narmada,Pachmarhi Wildlife Sanctuary,Biosphere Reserve,"Teak, Sal","Gaur, Leopard","Manganese, Copper",318,21,0.78,63,2.9,1,0,No,Low,High,High,1689,0.65,23,33,20,III,1393,Forest,21,4,Low,3.7,38.6,112.1,Moderate,Medium
R47,Odisha,Eastern Ghats,Brahmani,Similipal Wildlife Sanctuary,Biosphere Reserve,"Sal, Bamboo","Elephant, Tiger","Iron Ore, Bauxite",643,13,0.52,26,0.7,1,1,Yes,Very High,Medium,Medium,937,0.62,23,29,16,IV,1106,Agriculture,50,0,Low,14.8,47.8,108.5,Moderate,None
R48,Goa,Western Ghats,Mandovi,Bhagwan Mahavir Sanctuary,Wildlife Sanctuary,"Evergreen Trees, Bamboo","Hornbill, Deer","Iron Ore, Laterite",425,17,0.48,78,2.6,1,0,No,Very High,Low,High,1528,0.81,19,25,14,II,633,Agriculture,16,1,Low,12.8,19.1,123.5,Moderate,Low
R49,Assam,Eastern Himalayas,Brahmaputra,Kaziranga Wildlife Sanctuary,National Park,"Elephant Grass, Reed","Rhino, Deer","Coal, Limestone",565,12,0.76,35,6,1,1,Yes,High,Medium,High,1214,0.98,24,31,20,II,251,Urban,40,2,Medium,11,31.8,57.4,Good,Low
R50,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",294,21,0.33,54,1.3,1,1,No,Low,Medium,Low,852,0.54,26,29,23,IV,85,Mixed,39,1,High,11.1,1.3,118.7,Good,None
R51,Madhya Pradesh,Satpura Range,Narmada,Pachmarhi Wildlife Sanctuary,Biosphere Reserve,"Teak, Sal","Gaur, Leopard","Manganese, Copper",853,13,0.61,57,1.6,1,1,Yes,Medium,Low,Low,3451,0.85,21,26,16,II,623,Forest,55,0,High,3.3,13.7,19.2,Good,None
R52,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",451,29,0.64,26,4.1,1,1,Yes,High,Low,High,2300,1.27,20,24,16,III,283,Mixed,34,0,High,0.8,36.3,76.4,Poor,Low
R53,Assam,Eastern Himalayas,Brahmaputra,Kaziranga Wildlife Sanctuary,National Park,"Elephant Grass, Reed","Rhino, Deer","Coal, Limestone",279,18,0.78,61,2.6,1,0,No,Very High,Medium,High,2571,1.1,34,41,26,II,899,Agriculture,19,0,High,13.7,12.8,115.1,Good,Low
R54,Assam,Eastern Himalayas,Brahmaputra,Kaziranga Wildlife Sanctuary,National Park,"Elephant Grass, Reed","Rhino, Deer","Coal, Limestone",770,26,0.65,58,2.7,1,0,No,Very High,Low,High,2936,1.24,29,36,21,IV,316,Agriculture,18,1,High,19.8,32.6,56.9,Moderate,High
R55,Goa,Western Ghats,Mandovi,Bhagwan Mahavir Sanctuary,Wildlife Sanctuary,"Evergreen Trees, Bamboo","Hornbill, Deer","Iron Ore, Laterite",465,24,0.8,52,3.3,1,0,No,Low,High,Medium,1875,0.81,17,20,11,II,172,Forest,15,2,Low,0.9,43.4,64.3,Moderate,Medium
R56,Rajasthan,Aravalli Range,Sabarmati,Kumbhalgarh Wildlife Sanctuary,Eco-Sensitive Zone,"Khejri, Banyan","Leopard, Hyena","Marble, Limestone",645,19,0.27,22,0.5,1,1,Yes,Low,Low,Low,1252,1.04,31,40,25,II,184,Urban,68,0,High,18.8,4.4,115.1,Excellent,Medium
R57,Goa,Western Ghats,Mandovi,Bhagwan Mahavir Sanctuary,Wildlife Sanctuary,"Evergreen Trees, Bamboo","Hornbill, Deer","Iron Ore, Laterite",267,23,0.32,32,0.4,1,1,Yes,Very High,Medium,High,3141,1.35,35,43,27,III,1473,Mixed,42,1,Low,19.5,49.1,49,Good,Low
R58,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",651,21,0.67,58,3.9,1,0,No,High,Low,Low,2114,1.14,16,19,8,II,653,Urban,15,0,Medium,18,1.8,32.6,Moderate,High
R59,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",156,11,0.7,19,6.2,1,0,Yes,Low,Medium,High,1612,0.43,20,27,13,III,1303,Agriculture,9,0,Low,3.7,43,137.7,Moderate,High
R60,Rajasthan,Aravalli Range,Sabarmati,Kumbhalgarh Wildlife Sanctuary,Eco-Sensitive Zone,"Khejri, Banyan","Leopard, Hyena","Marble, Limestone",434,12,0.51,52,2.5,1,1,Yes,Very High,Low,Medium,769,1.41,15,25,9,III,1376,Agriculture,46,0,High,11.5,49.9,40.1,Moderate,Low
R61,Madhya Pradesh,Satpura Range,Narmada,Pachmarhi Wildlife Sanctuary,Biosphere Reserve,"Teak, Sal","Gaur, Leopard","Manganese, Copper",827,26,0.35,40,0.6,1,0,Yes,Medium,Low,Medium,3349,1.05,18,23,12,II,905,Forest,8,0,Medium,11.4,48.5,115.8,Moderate,High
R62,Rajasthan,Aravalli Range,Sabarmati,Kumbhalgarh Wildlife Sanctuary,Eco-Sensitive Zone,"Khejri, Banyan","Leopard, Hyena","Marble, Limestone",590,25,0.47,60,1.9,1,1,No,Low,Medium,High,764,1.32,35,44,30,IV,330,Urban,52,0,Very High,10.3,23.1,58.9,Moderate,None
R63,Odisha,Eastern Ghats,Brahmani,Similipal Wildlife Sanctuary,Biosphere Reserve,"Sal, Bamboo","Elephant, Tiger","Iron Ore, Bauxite",771,21,0.62,28,0.6,1,1,Yes,Very High,Medium,Low,326,0.41,28,37,22,V,1295,Forest,34,2,Low,3.2,16,111.8,Good,Medium
R64,Rajasthan,Aravalli Range,Sabarmati,Kumbhalgarh Wildlife Sanctuary,Eco-Sensitive Zone,"Khejri, Banyan","Leopard, Hyena","Marble, Limestone",487,9,0.8,75,5,1,0,Yes,Very High,Low,Low,1119,1.13,32,36,27,IV,815,Forest,20,1,Low,19.5,50.7,56.1,Moderate,Low
R65,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",758,29,0.54,53,2.8,1,0,No,Very High,Medium,High,3436,0.35,27,34,19,III,1017,Forest,23,4,Low,18.3,5.8,141.9,Excellent,Low
R66,Madhya Pradesh,Satpura Range,Narmada,Pachmarhi Wildlife Sanctuary,Biosphere Reserve,"Teak, Sal","Gaur, Leopard","Manganese, Copper",658,5,0.71,35,3.8,1,0,Yes,Low,Medium,Low,2798,0.71,27,31,22,IV,660,Forest,9,1,Very High,1.5,42.9,35.4,Good,Low
R67,Rajasthan,Aravalli Range,Sabarmati,Kumbhalgarh Wildlife Sanctuary,Eco-Sensitive Zone,"Khejri, Banyan","Leopard, Hyena","Marble, Limestone",775,7,0.3,72,5.6,1,1,Yes,Low,Medium,High,3076,0.62,32,39,25,II,458,Agriculture,48,0,High,1.6,58.8,103.3,Good,Medium
R68,Rajasthan,Aravalli Range,Sabarmati,Kumbhalgarh Wildlife Sanctuary,Eco-Sensitive Zone,"Khejri, Banyan","Leopard, Hyena","Marble, Limestone",484,29,0.3,26,2,1,0,Yes,Medium,Medium,Medium,2822,1.4,25,34,21,IV,1348,Agriculture,9,5,Medium,5.5,50.5,133.4,Good,Low
R69,Madhya Pradesh,Satpura Range,Narmada,Pachmarhi Wildlife Sanctuary,Biosphere Reserve,"Teak, Sal","Gaur, Leopard","Manganese, Copper",776,12,0.52,54,2.3,1,0,Yes,Very High,Low,Medium,1324,1.27,28,32,21,III,943,Forest,7,2,Low,13.4,31.9,132.1,Moderate,Low
R70,Rajasthan,Aravalli Range,Sabarmati,Kumbhalgarh Wildlife Sanctuary,Eco-Sensitive Zone,"Khejri, Banyan","Leopard, Hyena","Marble, Limestone",349,7,0.42,57,1.7,1,1,Yes,Medium,Low,Medium,632,0.62,17,21,12,IV,1204,Agriculture,51,1,High,19.3,44.4,129.4,Poor,High
R71,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",210,7,0.38,26,2.4,1,1,Yes,High,Medium,Low,2044,1.44,34,40,28,V,391,Agriculture,65,0,Medium,2.8,27.9,139.1,Good,Medium
R72,Rajasthan,Aravalli Range,Sabarmati,Kumbhalgarh Wildlife Sanctuary,Eco-Sensitive Zone,"Khejri, Banyan","Leopard, Hyena","Marble, Limestone",201,25,0.57,41,1.8,1,0,Yes,Medium,Low,High,2653,1.33,23,29,20,II,874,Forest,6,0,Low,12.5,23.4,40.9,Moderate,Medium
R73,Assam,Eastern Himalayas,Brahmaputra,Kaziranga Wildlife Sanctuary,National Park,"Elephant Grass, Reed","Rhino, Deer","Coal, Limestone",801,26,0.66,27,4.1,1,0,Yes,Medium,Low,Medium,3389,0.54,25,28,19,IV,793,Agriculture,10,1,High,3.8,16.4,69.1,Good,Medium
R74,Karnataka,Western Ghats,Sharavathi,Dandeli Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Rosewood","Tiger, Elephant","Gold, Iron Ore",193,25,0.82,26,0.5,1,1,Yes,High,High,Medium,2322,0.45,17,27,14,IV,1360,Agriculture,67,0,Low,14.6,51.6,72.6,Poor,Low
R75,Madhya Pradesh,Satpura Range,Narmada,Pachmarhi Wildlife Sanctuary,Biosphere Reserve,"Teak, Sal","Gaur, Leopard","Manganese, Copper",289,18,0.86,17,6,1,0,Yes,Low,Low,High,2401,0.55,21,30,16,V,692,Urban,21,0,Medium,11.7,48.1,138.6,Good,Low
R76,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",491,30,0.82,72,3.3,1,0,No,Very High,Low,Medium,1545,1.42,28,31,22,IV,337,Forest,10,0,Low,13.1,9.2,113.5,Moderate,Low
R77,Goa,Western Ghats,Mandovi,Bhagwan Mahavir Sanctuary,Wildlife Sanctuary,"Evergreen Trees, Bamboo","Hornbill, Deer","Iron Ore, Laterite",234,16,0.87,43,5.4,1,0,Yes,Very High,Low,High,1159,0.3,25,28,18,III,712,Agriculture,15,0,High,2,20.4,68.3,Moderate,Low
R78,Madhya Pradesh,Satpura Range,Narmada,Pachmarhi Wildlife Sanctuary,Biosphere Reserve,"Teak, Sal","Gaur, Leopard","Manganese, Copper",836,13,0.52,73,4.2,1,0,Yes,Medium,Low,High,436,0.51,29,38,25,II,289,Urban,7,3,Medium,15.9,15.7,47.3,Good,Medium
R79,Madhya Pradesh,Satpura Range,Narmada,Pachmarhi Wildlife Sanctuary,Biosphere Reserve,"Teak, Sal","Gaur, Leopard","Manganese, Copper",361,27,0.58,22,2,1,1,Yes,High,Medium,High,2367,0.46,17,20,11,III,730,Forest,59,2,Medium,9,16.3,25,Moderate,None
R80,Odisha,Eastern Ghats,Brahmani,Similipal Wildlife Sanctuary,Biosphere Reserve,"Sal, Bamboo","Elephant, Tiger","Iron Ore, Bauxite",515,29,0.4,85,5.4,1,0,No,Very High,Low,High,3092,0.27,31,38,28,IV,626,Forest,6,1,Very High,18.5,55.9,43,Good,None
R81,Odisha,Eastern Ghats,Brahmani,Similipal Wildlife Sanctuary,Biosphere Reserve,"Sal, Bamboo","Elephant, Tiger","Iron Ore, Bauxite",236,14,0.84,62,1.2,1,1,Yes,High,Low,Low,813,0.42,34,43,28,II,604,Forest,38,1,Medium,10.6,46.5,12.1,Good,Medium
R82,Karnataka,Western Ghats,Sharavathi,Dandeli Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Rosewood","Tiger, Elephant","Gold, Iron Ore",294,21,0.66,63,4.5,1,1,No,Very High,Medium,Medium,2131,0.43,24,30,17,III,221,Agriculture,35,5,Low,13.7,2.6,89.6,Poor,High
